,id,realm,region,displayName,favoriteRace,clanTag,previousRank,points,wins,losses,mmr,joinTimestamp
0,2450589,1,3,Prince,protoss,,0,944,30,5,6294,1673780376
1,4165224,1,3,Scarlett,random,RBLN,0,418,30,10,6099,1673521174
2,6359791,1,3,iiiiiiiiiiii,protoss,,0,588,35,15,6030,1673521174
3,6692257,1,3,Akira,protoss,常败将军,0,73,1,0,6000,1673521174
4,5713844,1,3,견쌍섭,zerg,Heroes,0,966,86,34,5943,1673521174
5,4184196,1,3,llllllllllll,terran,,0,73,1,0,5937,1673866777
6,4004729,1,3,QuanTa,terran,TeamNV,0,1011,92,52,5807,1673521174
7,3966178,1,3,llllllllIIll,terran,,0,418,29,21,5786,1673521174
8,5029227,1,3,IIIIIIIIIII,zerg,诺娃的小迷妹,0,1134,146,100,5780,1673521174
9,1328422,2,3,llllllllllll,zerg,,0,280,29,18,5770,1673521174
10,7220095,1,3,ChosenOne,protoss,MYG,0,944,75,42,5715,1673521174
11,4098759,1,3,VALHALLA,zerg,,0,588,52,23,5708,1673521174
12,4662298,1,3,이지안,protoss,,0,705,53,41,5697,1673521174
13,315879,1,3,Spear,terran,TeamNV,0,755,44,32,5648,1673521174
14,7685329,1,3,李知恩,zerg,诺娃的小迷妹,0,254,23,11,5640,1673521174
15,6332517,1,3,llllllllllll,protoss,,0,304,20,20,5595,1673607575
16,3835058,1,3,lllllllllll,protoss,,0,762,55,7,5592,1673521174
17,1126978,2,3,猫雷,zerg,,0,296,80,48,5590,1673521174
18,1336260,2,3,飘往月球不死之烟,zerg,暗生始冥死终,0,964,194,133,5543,1673521174
19,7606332,1,3,llllllllllll,terran,,0,472,18,13,5539,1673866777
20,4846030,1,3,NORTHAMERICA,protoss,KRisEZ,0,555,53,39,5532,1673521174
21,7477009,1,3,湾国吃不起茶叶蛋,terran,,0,576,39,16,5511,1673521174
22,1660486,2,3,夕立糊涂,zerg,,0,386,21,13,5506,1673866777
23,1370901,2,3,猫雷,zerg,,0,723,45,42,5497,1673607575
24,6060875,1,3,神威,zerg,,0,721,46,31,5494,1673521174
25,7486821,1,3,llllllllllll,protoss,,0,811,60,31,5489,1673521174
26,7311540,1,3,HonMonO,terran,PREP,0,541,48,36,5451,1673521174
27,6932345,1,3,Joliwaloves,protoss,,0,402,74,48,5448,1673521174
28,3414189,1,3,영준농원,protoss,인투더,0,379,20,10,5444,1673866777
29,1665136,2,3,llllllllllll,terran,,0,217,17,13,5434,1673693976
30,5554511,1,3,llllllllllll,zerg,,0,681,20,15,5428,1673607575
31,1400378,2,3,StarAtt,protoss,,0,203,27,5,5428,1673521174
32,7652838,1,3,Oriana,terran,MYG,0,667,34,25,5390,1673693976
33,4499974,1,3,jinioh,terran,TeamNV,0,99,1,2,5373,1673780376
34,6524143,1,3,lllIllIllIll,terran,,0,388,26,15,5368,1673693976
35,1321188,2,3,IIllIlllll,zerg,,0,253,24,19,5347,1673521174
36,6327819,1,3,kaqTe,protoss,勝手,0,474,31,33,5341,1673521174
37,6992279,1,3,IIIIIIIIIIII,terran,,0,645,97,64,5331,1673521174
38,7556737,1,3,llllllllll,protoss,姐姐帮你,0,273,18,17,5323,1673521174
39,986557,2,3,IIIIIIIIIIII,terran,,0,537,33,30,5307,1673607575
40,3948758,1,3,IDkid,protoss,,0,634,31,29,5290,1673521174
41,1582259,2,3,lllllllllll,terran,,0,600,38,24,5242,1673521174
42,7543251,1,3,LLLLLLLLLLLL,protoss,,0,254,30,15,5241,1673521174
43,1114784,2,3,lllllllll,protoss,,0,174,7,4,5229,1673521174
44,6092427,1,3,llllllllllll,zerg,,0,233,22,16,5161,1673521174
45,3140445,1,3,HwaRanG,terran,TeamNV,0,422,24,14,5151,1673521174
46,5022826,1,3,birth,protoss,봉민패밀리,0,73,0,2,5141,1673866777
47,6865278,1,3,llllllllllll,protoss,,0,502,26,23,5134,1673607575
48,4170350,1,3,llllllllllll,zerg,,0,338,19,18,5133,1673607575
49,7698908,1,3,llllllllllll,terran,,0,235,32,3,5126,1673866777
50,4193827,1,3,TheoRy,protoss,얼라이브,0,310,67,63,5111,1673521174
51,1302234,1,3,인생모잇어,terran,Grow,0,532,63,42,5108,1673607575
52,7301240,1,3,llllllllllll,zerg,,0,400,54,48,5093,1673521174
53,730107,2,3,shinobu,zerg,GdAT,0,527,44,26,5083,1673521174
54,1755108,2,3,lllllllllll,terran,,0,315,25,26,5080,1673521174
55,697153,2,3,llllllllllll,terran,,0,331,13,17,5078,1673866777
56,5976368,1,3,LUCY,terran,,0,450,25,22,5074,1673693976
57,1578783,2,3,SpeCTraL,terran,,0,482,41,30,5060,1673521174
58,5081355,1,3,llllllllllll,zerg,무한오영종2,0,423,27,21,5045,1673521174
59,7659806,1,3,shouldergang,protoss,DWT,0,212,14,7,5044,1673866777
60,6087601,1,3,可爱感染虫小韩宗,protoss,你是萝莉吗,0,318,87,94,5042,1673521174
61,4261445,1,3,llllllllllll,terran,인투더,0,262,27,22,5029,1673521174
62,6933563,1,3,myosotis,protoss,,0,309,36,23,5028,1673521174
63,3458949,1,3,티아코스모스,zerg,Dopen,0,506,45,34,5007,1673521174
64,6237218,1,3,llllllllllll,protoss,,0,370,51,45,5006,1673521174
65,6037600,1,3,TEAMDAOxDasH,protoss,klaytn,0,578,93,71,5004,1673521174
66,1565168,2,3,厦门孙一峰,terran,,0,217,23,22,4998,1673521174
67,2806159,1,3,Dauphine,terran,,0,292,19,15,4988,1673521174
68,2966590,1,3,IIIIIIIIII,zerg,,0,275,33,30,4985,1673521174
69,7212461,1,3,小点点,zerg,,0,311,22,15,4978,1673693976
70,7075022,1,3,SFAFASF,protoss,,0,277,12,21,4969,1673521174
71,6334501,1,3,llllllllllll,terran,,0,481,54,51,4963,1673521174
72,5705333,1,3,lIIlllIlllII,protoss,,0,475,33,30,4953,1673693976
73,757395,2,3,IIIIIIIlIIII,zerg,,0,221,20,15,4952,1673521174
74,6080263,1,3,Pain,terran,,0,189,10,6,4928,1673780376
75,1849111,1,3,러블리보영,protoss,,0,398,29,8,4920,1673866777
76,794261,2,3,Nzs,protoss,Rush,0,430,33,29,4914,1673521174
77,3726907,1,3,은빛혈관,terran,중금속중독자,0,440,23,15,4913,1673607575
78,1825033,1,3,llllllllllll,terran,,0,472,24,33,4912,1673693976
79,7461497,1,3,Timba,zerg,,0,430,36,31,4911,1673521174
80,202161,1,3,인흑대남,terran,,0,455,36,34,4904,1673521174
81,3006388,1,3,llllllllllll,protoss,,0,314,23,9,4898,1673693976
82,5754758,1,3,llllllllllll,terran,,0,317,22,8,4895,1673693976
83,5227850,1,3,llllllllllll,terran,,0,496,85,73,4895,1673521174
84,7150407,1,3,NightSky,terran,,0,234,44,36,4893,1673521174
85,2654466,1,3,Han,terran,,0,360,39,29,4860,1673521174
86,2812292,1,3,llllllllllll,terran,,0,513,70,63,4851,1673521174
87,7716833,1,3,IlIlIIlIlIlI,terran,,0,447,34,31,4848,1673521174
88,7618005,1,3,유아마이힐러,terran,,0,423,32,12,4845,1673607575
89,780125,1,3,마법소녀울트라,zerg,낭만,0,343,33,26,4839,1673521174
90,92908,1,3,llllllllllll,zerg,,0,436,51,45,4830,1673521174
91,7718644,1,3,llllllllllll,terran,,0,460,37,31,4829,1673521174
92,3881238,1,3,llllllllllll,protoss,,0,394,24,13,4828,1673693976
93,7572247,1,3,河科大李培楠,terran,丨LF丨,0,477,36,23,4827,1673693976
94,84709,1,3,IntoTheiNu,terran,인투더,0,383,22,20,4824,1673607575
95,6246137,1,3,llllllllllll,terran,,0,202,9,9,4821,1673866777
96,5705333,1,3,lIIlllIlllII,terran,,0,465,57,48,4815,1673521174
97,333921,1,3,고척동주민센터,protoss,,0,446,86,65,4814,1673521174
98,5210684,1,3,DraCula,protoss,,0,323,9,23,4811,1673780376
99,7093063,1,3,IIIIIIIIIIII,terran,,0,459,64,35,4811,1673693976
100,7271700,1,3,tyytytyt,protoss,,0,410,24,26,4808,1673780376
101,3199232,1,3,초심찾은애플,terran,낭만,0,463,51,44,4805,1673521174
102,1001315,2,3,Rex,protoss,ONSYDE,0,379,15,16,4796,1673866777
103,7702055,1,3,纯爱战神,protoss,,0,298,26,16,4792,1673521174
104,5359687,1,3,llIIlIIllIII,terran,,0,89,2,5,4783,1673780376
105,6911527,1,3,Kita,protoss,,0,152,28,6,4766,1673521174
106,56751,2,3,HuIIIIIIIIII,protoss,,0,452,53,43,4766,1673521174
107,4890370,1,3,IIIIIIIIIIII,zerg,,0,405,134,136,4755,1673521174
108,1192622,1,3,ShiningStars,zerg,ALeveL,0,420,73,72,4753,1673521174
109,7207238,1,3,Clownfrog,protoss,猫猫头万岁,0,228,14,22,4740,1673521174
110,5165981,1,3,Cthulhu,protoss,,0,416,22,29,4735,1673607575
111,5081355,1,3,llllllllllll,random,무한오영종2,0,392,111,102,4731,1673521174
112,7666874,1,3,바둑왕,terran,,0,298,15,15,4730,1673521174
113,1604092,2,3,水師提督,protoss,NDW,0,91,2,2,4729,1673866777
114,4662298,1,3,이지안,zerg,,0,280,29,30,4727,1673521174
115,2498566,1,3,IlllllIIIlll,protoss,,0,303,14,19,4723,1673693976
116,5265715,1,3,llllIlIIlI,terran,,0,334,60,50,4722,1673521174
117,7483090,1,3,IIIIIIIIIIII,terran,,0,414,65,66,4718,1673521174
118,757099,2,3,純愛戰士拉雄,protoss,,0,238,16,19,4710,1673521174
119,7678334,1,3,llllllllllll,terran,,0,446,69,71,4706,1673866777
120,4302615,1,3,lIlIlIlIlIlI,terran,,0,356,20,16,4704,1673780376
121,6915531,1,3,IIIIIIIIIIII,protoss,,0,397,14,11,4704,1673866777
122,6676790,1,3,lIllIlllIlll,terran,,0,198,39,38,4703,1673521174
123,5574574,1,3,IIIIIIIII,terran,,0,365,52,48,4702,1673521174
124,7505436,1,3,llllllllllll,terran,,0,314,24,15,4700,1673521174
125,7673985,1,3,BoGus,terran,,0,343,13,15,4696,1673866777
126,4057389,1,3,noname,protoss,无名一统地堡,0,390,20,27,4692,1673780376
127,6244840,1,3,LateGameZayn,terran,,0,164,22,17,4686,1673521174
128,2653780,1,3,IIIIlllIIlll,protoss,,0,398,16,25,4684,1673866777
129,1666807,2,3,IIIIIIIIIIII,zerg,,0,367,62,59,4681,1673521174
