,id,realm,region,displayName,favoriteRace,clanTag,previousRank,points,wins,losses,mmr,joinTimestamp
0,2450589,1,3,Prince,protoss,,0,944,30,5,6294.0,1673780376
1,4165224,1,3,Scarlett,random,RBLN,0,418,30,10,6099.0,1673521174
2,6359791,1,3,iiiiiiiiiiii,protoss,,0,725,39,17,6008.0,1673521174
3,6692257,1,3,Akira,protoss,常败将军,0,73,1,0,6000.0,1673521174
4,4184196,1,3,llllllllllll,terran,,0,73,1,0,5937.0,1673866777
5,6287904,1,3,llllllllllll,protoss,,0,639,16,4,5828.0,1673953178
6,7220095,1,3,ChosenOne,protoss,MYG,9,1191,97,53,5786.0,1673521174
7,5713844,1,3,견쌍섭,zerg,Heroes,6,1247,144,66,5777.0,1673521174
8,3966178,1,3,llllllllIIll,terran,,0,94,1,1,5759.0,1673953178
9,4004729,1,3,QuanTa,terran,TeamNV,8,1129,105,61,5731.0,1673521174
10,6420702,1,3,llllllllllll,protoss,,0,827,28,13,5719.0,1674125979
11,1328422,2,3,llllllllllll,zerg,,0,420,32,23,5685.0,1673521174
12,3835058,1,3,lllllllllll,protoss,,0,869,59,8,5670.0,1673521174
13,4662298,1,3,이지안,protoss,,0,911,66,47,5666.0,1673521174
14,7685329,1,3,李知恩,zerg,诺娃的小迷妹,0,596,33,14,5652.0,1673521174
15,4098759,1,3,VALHALLA,zerg,,24,871,65,35,5617.0,1673521174
16,5554511,1,3,llllllllllll,zerg,,0,974,39,22,5606.0,1673607575
17,1336260,2,3,飘往月球不死之烟,zerg,暗生始冥死终,0,784,40,26,5601.0,1674125979
18,6332517,1,3,llllllllllll,protoss,,0,304,20,20,5595.0,1673607575
19,1126978,2,3,猫雷,zerg,,0,296,80,48,5590.0,1673521174
20,315879,1,3,Spear,terran,TeamNV,0,796,46,37,5577.0,1673521174
21,6310888,1,3,llllllllllll,terran,,0,913,52,30,5555.0,1673953178
22,7048408,1,3,scv,protoss,偶像本人,0,348,10,11,5542.0,1673953178
23,6060875,1,3,神威,zerg,,33,799,48,31,5534.0,1673521174
24,7606332,1,3,llllllllllll,terran,,0,500,13,7,5533.0,1674039579
25,4846030,1,3,NORTHAMERICA,protoss,KRisEZ,0,555,53,39,5532.0,1673521174
26,5029227,1,3,IIIIIIIIIII,zerg,诺娃的小迷妹,12,1096,174,128,5526.0,1673521174
27,1370901,2,3,猫雷,zerg,,0,854,56,48,5525.0,1673607575
28,7477009,1,3,湾国吃不起茶叶蛋,terran,,0,576,39,16,5511.0,1673521174
29,1660486,2,3,夕立糊涂,zerg,,0,386,21,13,5506.0,1673866777
30,6301689,1,3,llllllllllll,protoss,,0,261,11,3,5504.0,1674125979
31,6932345,1,3,Joliwaloves,protoss,,0,450,75,49,5459.0,1673521174
32,1121680,2,3,Rikka,zerg,,0,456,20,21,5458.0,1673953178
33,3414189,1,3,영준농원,protoss,인투더,0,379,20,10,5444.0,1673866777
34,1665136,2,3,llllllllllll,terran,,0,217,17,13,5434.0,1673693976
35,1400378,2,3,StarAtt,protoss,,0,203,27,5,5428.0,1673521174
36,6524143,1,3,lllIllIllIll,terran,,0,388,26,15,5368.0,1673693976
37,7486821,1,3,llllllllllll,protoss,,0,154,4,4,5362.0,1674039579
38,1321188,2,3,IIllIlllll,zerg,,0,253,24,19,5347.0,1673521174
39,6327819,1,3,kaqTe,protoss,勝手,0,474,31,33,5341.0,1673521174
40,7272342,1,3,复仇者,protoss,,0,366,20,10,5317.0,1674125979
41,1400555,2,3,JavieR,terran,鑫驫影壇,0,704,24,20,5316.0,1674039579
42,3948758,1,3,IDkid,protoss,,45,765,40,33,5314.0,1673521174
43,7556737,1,3,llllllllll,protoss,姐姐帮你,0,321,19,19,5292.0,1673521174
44,6992279,1,3,IIIIIIIIIIII,terran,,53,854,133,90,5276.0,1673521174
45,1582259,2,3,lllllllllll,terran,,53,758,44,28,5273.0,1673521174
46,1644602,2,3,llllllllllll,zerg,,0,632,26,23,5259.0,1673953178
47,986557,2,3,IIIIIIIIIIII,terran,,0,573,35,36,5257.0,1673607575
48,6707976,1,3,IIIIIIII,protoss,TurboS,0,449,20,16,5256.0,1674039579
49,7543251,1,3,LLLLLLLLLLLL,protoss,,0,254,30,15,5241.0,1673521174
50,1114784,2,3,lllllllll,protoss,,0,174,7,4,5229.0,1673521174
51,2703605,1,3,치앙마이,zerg,,0,398,18,17,5179.0,1673953178
52,163246,1,3,데스윙,random,CIM,0,353,10,9,5172.0,1674039579
