,id,realm,region,displayName,favoriteRace,clanTag,previousRank,points,wins,losses,mmr,joinTimestamp
111,5754758,1,3,llllllllllll,terran,,0,317,22,8,4895.0,1673693976
112,7150407,1,3,NightSky,terran,,0,234,44,36,4893.0,1673521174
113,4890370,1,3,IIIIIIIIIIII,zerg,,105,597,175,162,4891.0,1673521174
114,1825033,1,3,llllllllllll,terran,,106,650,46,52,4890.0,1673693976
115,1269172,2,3,Gemini,protoss,ONSYDE,0,590,32,24,4890.0,1674298771
116,780125,1,3,마법소녀울트라,zerg,낭만,128,569,40,34,4887.0,1673521174
117,2498566,1,3,IlllllIIIlll,zerg,,0,378,18,16,4883.0,1674039579
118,92908,1,3,llllllllllll,zerg,,127,635,63,57,4872.0,1673521174
119,5705333,1,3,lIIlllIlllII,terran,,130,547,61,49,4867.0,1673521174
120,794261,2,3,Nzs,protoss,Rush,125,584,45,42,4862.0,1673521174
121,7093063,1,3,IIIIIIIIIIII,terran,,0,578,115,77,4858.0,1673693976
122,6037600,1,3,TEAMDAOxDasH,protoss,klaytn,83,611,170,138,4849.0,1673521174
123,2654466,1,3,Han,terran,,100,562,59,49,4843.0,1673521174
124,7461497,1,3,Timba,zerg,,0,85,4,1,4836.0,1674298771
125,1001315,2,3,Rex,protoss,ONSYDE,0,107,4,1,4826.0,1674125979
126,6192035,1,3,IIIIIIIIIIII,protoss,,0,579,29,28,4824.0,1674039579
127,4768774,1,3,IlIlIlIlIlIl,protoss,,0,312,14,16,4818.0,1674212370
128,471231,1,3,llllllllllll,terran,,158,544,140,129,4818.0,1673521174
129,1728498,2,3,仮屋和奏天下第一,terran,,0,326,22,15,4817.0,1674125979
130,3881238,1,3,NNNs,protoss,,135,582,39,23,4810.0,1673693976
131,2812292,1,3,llllllllllll,terran,,117,618,113,104,4806.0,1673521174
132,6915531,1,3,IIIIIIIIIIII,protoss,,0,525,29,22,4796.0,1673866777
133,724720,1,3,Sandcastle,protoss,TeamGP,0,643,93,80,4792.0,1674212370
134,7702055,1,3,纯爱战神,protoss,,0,298,26,16,4792.0,1673521174
135,2488441,1,3,Adonis,protoss,얼라이브,0,348,35,10,4787.0,1674298771
136,5081355,1,3,llllllllllll,random,무한오영종2,159,486,153,134,4786.0,1673521174
137,1077196,2,3,llllllll,terran,,0,493,27,31,4778.0,1674039579
138,6911527,1,3,Kita,protoss,,0,152,28,6,4766.0,1673521174
139,2835799,1,3,행성우주과학,protoss,,172,577,58,49,4766.0,1673693976
140,4662298,1,3,이지안,zerg,,0,402,32,34,4757.0,1673521174
141,5713844,1,3,견쌍섭,terran,Heroes,0,516,34,12,4752.0,1674125979
142,7207238,1,3,Clownfrog,protoss,猫猫头万岁,134,416,22,30,4751.0,1673521174
143,333921,1,3,고척동주민센터,protoss,,108,578,115,98,4751.0,1673521174
144,6246137,1,3,llllllllllll,terran,,0,452,21,15,4746.0,1674385172
145,5210684,1,3,DraCula,protoss,,146,419,14,32,4743.0,1673780376
146,202161,1,3,인흑대남,terran,,166,544,57,61,4742.0,1673521174
147,4176657,1,3,Osiris,protoss,,0,275,18,12,4736.0,1674039579
148,5165981,1,3,Cthulhu,protoss,,0,416,22,29,4735.0,1673607575
149,6119910,1,3,IlIlIlIl,terran,,0,392,18,18,4733.0,1674212370
150,84709,1,3,IntoTheiNu,terran,인투더,136,383,22,24,4728.0,1673607575
151,1369090,2,3,ykn,terran,,0,360,23,12,4726.0,1674212370
152,2498566,1,3,IlllllIIIlll,protoss,,0,303,14,19,4723.0,1673693976
153,5037800,1,3,catz,terran,,150,520,104,41,4717.0,1673521174
154,6450838,1,3,llllllllllll,protoss,,0,387,21,19,4710.0,1674039579
155,757099,2,3,純愛戰士拉雄,protoss,,0,238,16,19,4710.0,1673521174
156,6676790,1,3,lIllIlllIlll,terran,,0,198,39,38,4703.0,1673521174
157,4244456,1,3,부지런한사람,zerg,얼라이브,152,514,42,36,4700.0,1673607575
158,7505436,1,3,llllllllllll,terran,,0,314,24,15,4700.0,1673521174
159,7728642,1,3,莎拉凯瑞甘,terran,,0,454,95,77,4699.0,1673521174
160,7666874,1,3,바둑왕,terran,,144,362,18,20,4692.0,1673521174
161,7672023,1,3,MorRo,terran,,0,180,5,1,4691.0,1674385172
162,6244840,1,3,LateGameZayn,terran,,0,164,22,17,4686.0,1673521174
163,1666807,2,3,IIIIIIIIIIII,zerg,,0,367,62,59,4681.0,1673521174
164,4057389,1,3,noname,protoss,无名一统地堡,0,404,37,45,4677.0,1673780376
165,7718644,1,3,llllllllllll,terran,,117,539,49,50,4673.0,1673521174
166,5356655,1,3,벌어지는일,protoss,종족다잘하면,0,218,7,6,4672.0,1674298771
167,7035121,1,3,awu,zerg,NBAsia,161,431,27,20,4670.0,1673521174
168,5867783,1,3,루돌프,terran,참치배선원,0,264,55,19,4655.0,1673866777
169,7572247,1,3,河科大李培楠,terran,丨LF丨,0,457,50,45,4652.0,1673693976
170,2638277,1,3,Head,terran,,0,519,98,93,4652.0,1674039579
171,2653780,1,3,IIIIlllIIlll,protoss,,0,526,22,33,4648.0,1673866777
172,7658324,1,3,llllllllllll,terran,,137,513,67,46,4643.0,1673521174
173,2498566,1,3,IlllllIIIlll,terran,,0,399,16,18,4641.0,1674125979
174,7673985,1,3,BoGus,terran,,0,97,1,3,4641.0,1674298771
175,7624559,1,3,박혿으,zerg,낭만,179,232,30,29,4639.0,1673521174
176,6907686,1,3,IIIIIIIIIII,terran,,0,352,25,20,4638.0,1674385172
177,7420967,1,3,丶小庝,terran,,0,193,30,9,4633.0,1673521174
178,1354456,2,3,电脑,terran,,0,408,36,22,4632.0,1674039579
179,6349144,1,3,KingDomGlorY,terran,Grow,0,377,181,176,4631.0,1674385172
180,2769360,1,3,희뀨욤꼼,zerg,박수영,0,318,16,14,4626.0,1674212370
181,56751,2,3,HuIIIIIIIIII,protoss,,144,427,66,60,4624.0,1673521174
182,5684197,1,3,王绯雨,terran,流氓高手,182,479,55,52,4623.0,1673521174
183,834563,2,3,Sowhy,terran,,162,356,21,25,4622.0,1673521174
184,1001315,2,3,Rex,terran,ONSYDE,0,340,20,18,4621.0,1674385172
185,742854,2,3,做夢哥,zerg,DWT,0,370,28,14,4619.0,1674385172
186,4148925,1,3,LaRva,zerg,,0,189,20,13,4612.0,1674385172
187,3265098,1,3,OverMind,zerg,,0,532,27,27,4599.0,1674212370
188,4302615,1,3,lIlIlIlIlIlI,terran,,183,432,25,28,4575.0,1673780376
