,id,realm,region,displayName,favoriteRace,clanTag,previousRank,points,wins,losses,mmr,joinTimestamp
0,8733050,1,2,MacroTerran,terran,,1,1483,82,21,6643.0,1673553571
1,2594031,1,2,ForJumY,protoss,K10GG,2,1097,86,34,6385.0,1673553571
2,2256208,1,2,PAPI,protoss,lnFeS,0,546,27,7,6228.0,1674071978
3,2188427,2,2,Replicant,terran,,0,428,26,4,6214.0,1673985577
4,8057715,1,2,KEKW,protoss,,3,1223,69,27,6211.0,1673553571
5,809005,1,2,AqueroN,terran,Heroes,0,612,29,10,6210.0,1673985577
6,1143713,1,2,marcj,terran,St0rmG,0,290,24,8,6209.0,1673553571
7,4143155,1,2,milkicow,terran,CS0,0,877,39,24,6208.0,1673553571
8,2442671,2,2,llllllllllll,zerg,,0,504,25,12,6202.0,1674158380
9,6958803,1,2,trigger,protoss,BASKGG,0,1465,102,43,6192.0,1673553571
10,7119513,1,2,llllllllllll,protoss,,0,909,45,16,6192.0,1673553571
11,9471286,1,2,IIIIIIIIIIII,protoss,,0,574,33,9,6147.0,1674071978
12,9237128,1,2,IIIIIIIIIIII,protoss,,0,640,34,12,6084.0,1673726373
13,1530473,1,2,HateMe,zerg,Heroes,0,1183,78,44,6081.0,1673553571
14,3437681,1,2,Lambo,protoss,RBLN,0,924,57,25,6064.0,1673553571
15,7451310,1,2,Nicoract,terran,PSISTM,16,1160,111,64,6000.0,1673553571
16,8218796,1,2,DimSumLove,protoss,TRotti,0,395,70,37,5962.0,1673553571
17,2102879,1,2,Moja,terran,,0,1211,91,63,5929.0,1673553571
18,4054275,1,2,BabyMarine,terran,TRotti,0,804,26,21,5920.0,1673553571
19,3848886,1,2,Robbie,protoss,NoCap,22,797,38,11,5896.0,1673553571
20,3692501,1,2,Vindicta,terran,CranKy,0,299,22,17,5867.0,1673553571
21,1922127,2,2,Nikich,zerg,PLA2N,0,821,30,17,5859.0,1673812775
22,4451316,1,2,Trifax,zerg,CS0,0,882,74,58,5844.0,1673553571
